                                                                 Exchanges available for Freqtrade (87 exchanges):                                                                  
┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┓
┃ Exchange Name              ┃ Class Name                      ┃ Markets                               ┃ Reason                                                                    ┃
│ Latoken                    │ latoken                         │ spot                                  │ missing opt: watchOHLCV.                                                  │
│ LBank                      │ lbank                           │ spot                                  │                                                                           │
│ luno                       │ luno                            │ spot                                  │ missing opt: watchOHLCV.                                                  │
│ Mercado Bitcoin            │ mercado                         │ spot                                  │ missing opt: fetchTickers, watchOHLCV.                                    │
│ MEXC Global                │ mexc                            │ spot                                  │                                                                           │
│ MyOKX(EEA) (Supported)     │ myokx                           │ spot, isolated futures                │                                                                           │
│ NDAX                       │ ndax                            │ spot                                  │ missing opt: fetchTickers.                                                │
│ NovaDAX                    │ novadax                         │ spot                                  │ missing opt: watchOHLCV.                                                  │
│ OceanEx                    │ oceanex                         │ spot                                  │ missing opt: fetchMyTrades, watchOHLCV.                                   │
│ OKCoin                     │ okcoin                          │ spot                                  │                                                                           │
│ OKX (Supported)            │ okx                             │ spot, isolated futures                │                                                                           │
│ One Trading                │ onetrading                      │ spot                                  │ missing opt: fetchTrades.                                                 │
│ OXFUN                      │ oxfun                           │ spot                                  │                                                                           │
│ Paradex                    │ paradex                         │ DEX: spot                             │ missing opt: watchOHLCV.                                                  │
│ Phemex                     │ phemex                          │ spot                                  │                                                                           │
│ TimeX                      │ timex                           │ spot                                  │ missing opt: watchOHLCV.                                                  │
│ Tokocrypto                 │ tokocrypto                      │ spot                                  │ missing opt: fetchTicker, fetchTickers, watchOHLCV.                       │
│ tradeogre                  │ tradeogre                       │ spot                                  │ missing opt: fetchMyTrades, createMarketOrder, watchOHLCV.                │
│ Upbit                      │ upbit                           │ spot                                  │ missing opt: fetchMyTrades.                                               │
│ Vertex                     │ vertex                          │ DEX: spot                             │ missing opt: fetchTicker, watchOHLCV.                                     │
│ Waves.Exchange             │ wavesexchange                   │ DEX: spot                             │ missing opt: watchOHLCV.                                                  │
│ WOO X                      │ woo                             │ spot                                  │ missing opt: createMarketOrder, fetchTicker, fetchTickers.                │
│ WOOFI PRO                  │ woofipro                        │ DEX: spot                             │ missing opt: createMarketOrder, fetchTicker, fetchTickers.                │
│ XT                         │ xt                              │ spot                                  │                                                                           │
│ YoBit                      │ yobit                           │ spot                                  │ missing opt: createMarketOrder, watchOHLCV.                               │
└────────────────────────────┴─────────────────────────────────┴───────────────────────────────────────┴───────────────────────────────────────────────────────────────────────────┘
